Exp 1.2: Standard vs Pooled Accumulation
d=4, K=1024, micro_bs=8, steps=10000, seeds=3

Distribution       Method                 M   T              W1
ring               w1_pooled              8  16  0.0543+/-0.0107
ring               w1_pooled              8  32  0.0648+/-0.0076
ring               w2_standard            8   1  0.1091+/-0.0063
ring               w2_standard            8   2  0.1038+/-0.0057
ring               w2_standard            8   4  0.1028+/-0.0051
ring               w2_standard            8   8  0.1076+/-0.0122
ring               w2_standard            8  16  0.1004+/-0.0013
ring               w2_standard            8  32  0.1025+/-0.0023
ring               w2_pooled              8   1  0.1091+/-0.0063
ring               w2_pooled              8   2  0.0762+/-0.0047
ring               w2_pooled              8   4  0.0843+/-0.0104
ring               w2_pooled              8   8  0.0611+/-0.0091
ring               w2_pooled              8  16  0.0598+/-0.0119
ring               w2_pooled              8  32  0.0611+/-0.0042
ring               sigreg_standard        8   1  0.1215+/-0.0111
ring               sigreg_standard        8   2  0.1040+/-0.0040
ring               sigreg_standard        8   4  0.1184+/-0.0105
ring               sigreg_standard        8   8  0.1071+/-0.0046
ring               sigreg_standard        8  16  0.0972+/-0.0059
ring               sigreg_standard        8  32  0.0983+/-0.0076
ring               sigreg_pooled          8   1  0.1215+/-0.0111
ring               sigreg_pooled          8   2  0.0742+/-0.0059
ring               sigreg_pooled          8   4  0.0729+/-0.0088
ring               sigreg_pooled          8   8  0.0630+/-0.0147
ring               sigreg_pooled          8  16  0.0434+/-0.0027
ring               sigreg_pooled          8  32  0.0505+/-0.0053
ring               w1_standard           32   1  0.1248+/-0.0127
ring               w1_standard           32   2  0.1115+/-0.0091
ring               w1_standard           32   4  0.1048+/-0.0063
ring               w1_standard           32   8  0.1120+/-0.0111
ring               w1_standard           32  16  0.1130+/-0.0060
ring               w1_standard           32  32  0.1160+/-0.0104
ring               w1_pooled             32   1  0.1248+/-0.0127
ring               w1_pooled             32   2  0.0808+/-0.0101
ring               w1_pooled             32   4  0.0895+/-0.0205
ring               w1_pooled             32   8  0.0601+/-0.0143
ring               w1_pooled             32  16  0.0563+/-0.0007
ring               w1_pooled             32  32  0.0637+/-0.0117
ring               w2_standard           32   1  0.1009+/-0.0037
ring               w2_standard           32   2  0.0962+/-0.0046
ring               w2_standard           32   4  0.1065+/-0.0125
ring               w2_standard           32   8  0.1086+/-0.0158
ring               w2_standard           32  16  0.1046+/-0.0080
ring               w2_standard           32  32  0.1035+/-0.0038
ring               w2_pooled             32   1  0.1009+/-0.0037
ring               w2_pooled             32   2  0.0794+/-0.0131
ring               w2_pooled             32   4  0.0756+/-0.0080
ring               w2_pooled             32   8  0.0661+/-0.0084
ring               w2_pooled             32  16  0.0576+/-0.0100
ring               w2_pooled             32  32  0.0611+/-0.0045
ring               sigreg_standard       32   1  0.1097+/-0.0071
ring               sigreg_standard       32   2  0.1090+/-0.0129
ring               sigreg_standard       32   4  0.1040+/-0.0080
ring               sigreg_standard       32   8  0.1146+/-0.0132
ring               sigreg_standard       32  16  0.1033+/-0.0039
ring               sigreg_standard       32  32  0.0997+/-0.0045
ring               sigreg_pooled         32   1  0.1097+/-0.0071
ring               sigreg_pooled         32   2  0.0834+/-0.0073
ring               sigreg_pooled         32   4  0.0837+/-0.0209
ring               sigreg_pooled         32   8  0.0689+/-0.0150
ring               sigreg_pooled         32  16  0.0638+/-0.0020
ring               sigreg_pooled         32  32  0.0536+/-0.0102

spiral             w1_standard            8   1  0.1276+/-0.0064
spiral             w1_standard            8   2  0.1374+/-0.0142
spiral             w1_standard            8   4  0.1302+/-0.0075
spiral             w1_standard            8   8  0.1299+/-0.0068
spiral             w1_standard            8  16  0.1269+/-0.0055
spiral             w1_standard            8  32  0.1262+/-0.0015
spiral             w1_pooled              8   1  0.1276+/-0.0064
spiral             w1_pooled              8   2  0.0923+/-0.0019
spiral             w1_pooled              8   4  0.0888+/-0.0041
spiral             w1_pooled              8   8  0.0719+/-0.0036
spiral             w1_pooled              8  16  0.0804+/-0.0037
spiral             w1_pooled              8  32  0.0704+/-0.0023
spiral             w2_standard            8   1  0.1317+/-0.0171
spiral             w2_standard            8   2  0.1281+/-0.0086
spiral             w2_standard            8   4  0.1249+/-0.0122
spiral             w2_standard            8   8  0.1313+/-0.0111
spiral             w2_standard            8  16  0.1224+/-0.0028
spiral             w2_standard            8  32  0.1190+/-0.0040
spiral             w2_pooled              8   1  0.1317+/-0.0171
spiral             w2_pooled              8   2  0.1105+/-0.0094
spiral             w2_pooled              8   4  0.0829+/-0.0047
spiral             w2_pooled              8   8  0.0801+/-0.0061
spiral             w2_pooled              8  16  0.0719+/-0.0062
spiral             w2_pooled              8  32  0.0687+/-0.0047
spiral             sigreg_standard        8   1  0.1346+/-0.0094
spiral             sigreg_standard        8   2  0.1241+/-0.0045
spiral             sigreg_standard        8   4  0.1268+/-0.0061
spiral             sigreg_standard        8   8  0.1296+/-0.0093
spiral             sigreg_standard        8  16  0.1266+/-0.0080
spiral             sigreg_standard        8  32  0.1257+/-0.0047
spiral             sigreg_pooled          8   1  0.1346+/-0.0094
spiral             sigreg_pooled          8   2  0.0989+/-0.0063
spiral             sigreg_pooled          8   4  0.0917+/-0.0092
spiral             sigreg_pooled          8   8  0.0912+/-0.0073
spiral             sigreg_pooled          8  16  0.0929+/-0.0093
spiral             sigreg_pooled          8  32  0.0775+/-0.0094
spiral             w1_standard           32   1  0.1278+/-0.0090
spiral             w1_standard           32   2  0.1298+/-0.0028
spiral             w1_standard           32   4  0.1396+/-0.0093
spiral             w1_standard           32   8  0.1292+/-0.0074
spiral             w1_standard           32  16  0.1320+/-0.0005
spiral             w1_standard           32  32  0.1263+/-0.0044
spiral             w1_pooled             32   1  0.1278+/-0.0090
spiral             w1_pooled             32   2  0.1048+/-0.0139
spiral             w1_pooled             32   4  0.1028+/-0.0029
spiral             w1_pooled             32   8  0.0789+/-0.0031
spiral             w1_pooled             32  16  0.0851+/-0.0061
spiral             w1_pooled             32  32  0.0739+/-0.0013
spiral             w2_standard           32   1  0.1301+/-0.0073
spiral             w2_standard           32   2  0.1296+/-0.0056
spiral             w2_standard           32   4  0.1299+/-0.0076
spiral             w2_standard           32   8  0.1173+/-0.0038
spiral             w2_standard           32  16  0.1186+/-0.0014
spiral             w2_standard           32  32  0.1187+/-0.0023
spiral             w2_pooled             32   1  0.1301+/-0.0073
spiral             w2_pooled             32   2  0.0924+/-0.0032
spiral             w2_pooled             32   4  0.0985+/-0.0019
spiral             w2_pooled             32   8  0.0975+/-0.0076
spiral             w2_pooled             32  16  0.0825+/-0.0074
spiral             w2_pooled             32  32  0.0785+/-0.0072
spiral             sigreg_standard       32   1  0.1458+/-0.0073
spiral             sigreg_standard       32   2  0.1489+/-0.0074
spiral             sigreg_standard       32   4  0.1302+/-0.0061
spiral             sigreg_standard       32   8  0.1244+/-0.0093
spiral             sigreg_standard       32  16  0.1192+/-0.0089
spiral             sigreg_standard       32  32  0.1239+/-0.0019
spiral             sigreg_pooled         32   1  0.1458+/-0.0073
spiral             sigreg_pooled         32   2  0.1066+/-0.0083
spiral             sigreg_pooled         32   4  0.1024+/-0.0209
spiral             sigreg_pooled         32   8  0.0881+/-0.0094
spiral             sigreg_pooled         32  16  0.0860+/-0.0045
spiral             sigreg_pooled         32  32  0.0815+/-0.0030

