epoch,eval/knn_probe_accuracy,eval/linear_probe_top1_epoch,eval/linear_probe_top1_step,eval/linear_probe_top5_epoch,eval/linear_probe_top5_step,fit/inv_loss_epoch,fit/inv_loss_step,fit/loss_epoch,fit/loss_step,fit/pool_size_epoch,fit/pool_size_step,fit/reg_loss_epoch,fit/reg_loss_step,step,train/linear_probe_loss_epoch,train/linear_probe_loss_step
,,,0.0416666679084301,,0.9375,,,,,,,,,140,,
,,,0.0625,,0.875,,,,,,,,,141,,
,,,0.0625,,1.0,,,,,,,,,142,,
,,,0.0625,,0.875,,,,,,,,,143,,
,,,0.078125,,0.875,,,,,,,,,144,,
,,,0.09375,,0.9375,,,,,,,,,145,,
,,,0.0,,1.0,,,,,,,,,146,,
,,,0.0,,1.0,,,,,,,,,147,,
,,,0.0,,0.875,,,,,,,,,148,,
,,,0.0,,1.0,,,,,,,,,149,,
,,,0.0,,0.9375,,,,,,,,,150,,
,,,0.0,,0.9375,,,,,,,,,151,,
,,,0.0,,0.875,,,,,,,,,152,,
,,,0.0,,1.0,,,,,,,,,153,,
,,,0.0,,1.0,,,,,,,,,154,,
,,,0.0,,1.0,,,,,,,,,155,,
,,,0.0,,1.0,,,,,,,,,156,,
,,,0.0,,0.9375,,,,,,,,,157,,
,,,0.0,,0.9375,,,,,,,,,158,,
,,,0.0,,0.8125,,,,,,,,,159,,
,,,0.0,,0.9375,,,,,,,,,160,,
,,,0.0,,0.9375,,,,,,,,,161,,
,,,0.0,,0.9375,,,,,,,,,162,,
,,,0.0,,1.0,,,,,,,,,163,,
,,,0.0,,0.9375,,,,,,,,,164,,
,,,0.0,,1.0,,,,,,,,,165,,
,,,0.0,,0.9375,,,,,,,,,166,,
,,,0.0,,1.0,,,,,,,,,167,,
,,,0.0,,0.875,,,,,,,,,168,,
,,,0.3333333432674408,,0.9615384340286255,,,,,,,,,169,,
,,,0.40625,,1.0,,,,,,,,,170,,
,,,0.1875,,1.0,,,,,,,,,171,,
,,,0.1875,,1.0,,,,,,,,,172,,
,,,0.171875,,1.0,,,,,,,,,173,,
,,,0.25,,1.0,,,,,,,,,174,,
,,,0.2291666716337204,,1.0,,,,,,,,,175,,
,,,0.46875,,1.0,,,,,,,,,176,,
,,,0.2708333432674408,,1.0,,,,,,,,,177,,
,,,0.4375,,1.0,,,,,,,,,178,,
,,,0.171875,,1.0,,,,,,,,,179,,
,,,0.2708333432674408,,1.0,,,,,,,,,180,,
,,,0.2708333432674408,,1.0,,,,,,,,,181,,
,,,0.2916666567325592,,1.0,,,,,,,,,182,,
,,,0.4375,,1.0,,,,,,,,,183,,
,,,0.2708333432674408,,1.0,,,,,,,,,184,,
,,,0.2916666567325592,,1.0,,,,,,,,,185,,
,,,0.46875,,1.0,,,,,,,,,186,,
,,,1.0,,1.0,,,,,,,,,187,,
,,,0.2916666567325592,,1.0,,,,,,,,,188,,
,,,0.2708333432674408,,1.0,,,,,,,,,189,,
,,,0.25,,1.0,,,,,,,,,190,,
,,,0.2916666567325592,,1.0,,,,,,,,,191,,
,,,0.25,,1.0,,,,,,,,,192,,
,,,0.4375,,1.0,,,,,,,,,193,,
,,,0.4375,,1.0,,,,,,,,,194,,
,,,0.2708333432674408,,1.0,,,,,,,,,195,,
,,,0.0,,0.1875,,,,,,,,,196,,
,,,0.0,,0.0,,,,,,,,,197,,
,,,0.0,,0.1875,,,,,,,,,198,,
,,,0.0,,0.0625,,,,,,,,,199,,
,,,0.0,,0.0,,,,,,,,,200,,
,,,0.0,,0.0,,,,,,,,,201,,
,,,0.0,,0.0,,,,,,,,,202,,
,,,0.0,,0.25,,,,,,,,,203,,
,,,0.0,,0.0,,,,,,,,,204,,
,,,0.0,,0.1875,,,,,,,,,205,,
,,,0.0,,0.1875,,,,,,,,,206,,
,,,0.0,,0.125,,,,,,,,,207,,
,,,0.0,,0.0,,,,,,,,,208,,
,,,0.0,,0.125,,,,,,,,,209,,
,,,0.0,,0.0625,,,,,,,,,210,,
,,,0.0,,0.0625,,,,,,,,,211,,
,,,0.0,,0.125,,,,,,,,,212,,
,,,0.0,,0.0,,,,,,,,,213,,
,,,0.0,,0.125,,,,,,,,,214,,
,,,0.0,,0.0625,,,,,,,,,215,,
,,,0.0,,0.1875,,,,,,,,,216,,
,,,0.0,,0.0625,,,,,,,,,217,,
,,,0.0,,0.0625,,,,,,,,,218,,
,,,0.0,,0.0625,,,,,,,,,219,,
,,,0.20000000298023224,,0.5,,,,,,,,,220,,
,,,0.1666666716337204,,0.875,,,,,,,,,221,,
,,,0.1458333283662796,,0.5,,,,,,,,,222,,
,,,0.1666666716337204,,0.625,,,,,,,,,223,,
,,,0.125,,0.375,,,,,,,,,224,,
,,,0.1875,,0.75,,,,,,,,,225,,
,,,0.2291666716337204,,0.75,,,,,,,,,226,,
,,,0.28125,,0.6875,,,,,,,,,227,,
,,,0.1875,,0.75,,,,,,,,,228,,
,,,0.2083333283662796,,0.625,,,,,,,,,229,,
,,,0.2291666716337204,,0.8125,,,,,,,,,230,,
,,,0.1666666716337204,,0.6875,,,,,,,,,231,,
,,,0.1875,,0.625,,,,,,,,,232,,
,,,0.2291666716337204,,0.75,,,,,,,,,233,,
,,,0.2083333283662796,,0.625,,,,,,,,,234,,
,,,0.1875,,0.625,,,,,,,,,235,,
,,,0.375,,0.8125,,,,,,,,,236,,
,,,0.125,,0.5,,,,,,,,,237,,
,,,0.1666666716337204,,0.5,,,,,,,,,238,,
,,,0.1666666716337204,,0.6875,,,,,,,,,239,,
,,,0.109375,,0.4375,,,,,,,,,240,,
,,,0.140625,,0.625,,,,,,,,,241,,
,,,0.28125,,0.625,,,,,,,,,242,,
,,,0.2083333283662796,,0.6875,,,,,,,,,243,,
,,,0.21875,,0.5625,,,,,,,,,244,,
,,,0.0,,0.20000000298023224,,,,,,,,,245,,
0,0.21414390206336975,0.18301799893379211,,0.6453925371170044,,,,,,,,,,590,,
0,,,,,,0.06772511452436447,,0.2614918351173401,,32.0,,3.9430091381073,,590,2.279078245162964,
1,,,,,,,0.10198990255594254,,0.2431306391954422,,32.0,,2.923828125,599,,2.386444091796875
1,,,,,,,0.08125939220190048,,0.2112296223640442,,32.0,,2.6796875,649,,2.1530685424804688
1,,,,,,,0.13205589354038239,,0.2683974504470825,,32.0,,2.859375,699,,2.382049560546875
1,,,,,,,0.11982862651348114,,0.24164481461048126,,32.0,,2.556640625,749,,2.2171630859375
1,,,,,,,0.06850351393222809,,0.19471701979637146,,32.0,,2.591796875,799,,2.0425872802734375
1,,,,,,,0.1264486312866211,,0.24866622686386108,,32.0,,2.5703125,849,,2.2089080810546875
1,,,,,,,0.10193946957588196,,0.22709152102470398,,32.0,,2.60546875,899,,2.1226654052734375
1,,,,,,,0.10579966008663177,,0.2281952202320099,,32.0,,2.552734375,949,,2.485595703125
1,,,,,,,0.07963964343070984,,0.1944931149482727,,32.0,,2.376953125,999,,2.156219482421875
1,,,,,,,0.0747247189283371,,0.1953781247138977,,32.0,,2.48828125,1049,,2.1112747192382812
1,,,,,,,0.11910931020975113,,0.2336372435092926,,32.0,,2.41015625,1099,,2.257965087890625
1,,,,,,,0.11582355201244354,,0.22465640306472778,,32.0,,2.29296875,1149,,2.1419219970703125
,,,0.09375,,0.6875,,,,,,,,,246,,
,,,0.1041666641831398,,0.6875,,,,,,,,,247,,
,,,0.1458333283662796,,0.875,,,,,,,,,248,,
,,,0.05000000074505806,,0.6875,,,,,,,,,249,,
,,,0.140625,,0.8125,,,,,,,,,250,,
,,,0.078125,,0.6875,,,,,,,,,251,,
,,,0.1458333283662796,,0.6875,,,,,,,,,252,,
,,,0.125,,0.875,,,,,,,,,253,,
,,,0.09375,,0.75,,,,,,,,,254,,
,,,0.125,,0.75,,,,,,,,,255,,
,,,0.07500000298023224,,0.8125,,,,,,,,,256,,
,,,0.109375,,0.8125,,,,,,,,,257,,
,,,0.1041666641831398,,0.625,,,,,,,,,258,,
,,,0.078125,,0.75,,,,,,,,,259,,
,,,0.10000000149011612,,0.75,,,,,,,,,260,,
,,,0.03750000149011612,,0.5625,,,,,,,,,261,,
,,,0.0833333358168602,,0.75,,,,,,,,,262,,
,,,0.1666666716337204,,0.625,,,,,,,,,263,,
,,,0.21875,,0.75,,,,,,,,,264,,
,,,0.0625,,0.5625,,,,,,,,,265,,
,,,0.08749999850988388,,0.6875,,,,,,,,,266,,
,,,0.125,,0.75,,,,,,,,,267,,
,,,0.125,,0.625,,,,,,,,,268,,
,,,0.078125,,0.75,,,,,,,,,269,,
,,,0.0833333358168602,,0.5512820482254028,,,,,,,,,270,,
,,,0.0,,0.5,,,,,,,,,271,,
,,,0.010416666977107525,,0.625,,,,,,,,,272,,
,,,0.0,,0.4375,,,,,,,,,273,,
,,,0.0,,0.5,,,,,,,,,274,,
,,,0.0,,0.4375,,,,,,,,,275,,
,,,0.0,,0.8125,,,,,,,,,276,,
,,,0.0,,0.625,,,,,,,,,277,,
,,,0.0,,0.5,,,,,,,,,278,,
,,,0.0,,0.3125,,,,,,,,,279,,
,,,0.0,,0.625,,,,,,,,,280,,
,,,0.0,,0.5,,,,,,,,,281,,
,,,0.0,,0.4375,,,,,,,,,282,,
,,,0.0,,0.5625,,,,,,,,,283,,
,,,0.0,,0.5,,,,,,,,,284,,
,,,0.015625,,0.375,,,,,,,,,285,,
,,,0.0,,0.625,,,,,,,,,286,,
,,,0.012500000186264515,,0.6875,,,,,,,,,287,,
,,,0.0,,0.625,,,,,,,,,288,,
,,,0.012500000186264515,,0.6875,,,,,,,,,289,,
,,,0.0,,0.75,,,,,,,,,290,,
,,,0.0,,0.375,,,,,,,,,291,,
,,,0.0,,0.5,,,,,,,,,292,,
,,,0.0,,0.5625,,,,,,,,,293,,
,,,0.095238097012043,,0.7142857313156128,,,,,,,,,294,,
,,,0.109375,,0.9375,,,,,,,,,295,,
,,,0.171875,,0.875,,,,,,,,,296,,
,,,0.3125,,0.9375,,,,,,,,,297,,
,,,0.375,,1.0,,,,,,,,,298,,
,,,0.109375,,0.8125,,,,,,,,,299,,
,,,0.2083333283662796,,0.8125,,,,,,,,,300,,
,,,0.10000000149011612,,0.6875,,,,,,,,,301,,
,,,0.2083333283662796,,0.75,,,,,,,,,302,,
,,,0.2708333432674408,,0.9375,,,,,,,,,303,,
,,,0.2291666716337204,,0.875,,,,,,,,,304,,
,,,0.2291666716337204,,1.0,,,,,,,,,305,,
,,,0.2291666716337204,,0.9375,,,,,,,,,306,,
,,,0.15625,,0.9375,,,,,,,,,307,,
,,,0.140625,,0.9375,,,,,,,,,308,,
,,,0.125,,0.875,,,,,,,,,309,,
,,,0.1666666716337204,,0.875,,,,,,,,,310,,
,,,0.1875,,0.9375,,,,,,,,,311,,
,,,0.1875,,0.875,,,,,,,,,312,,
,,,0.25,,0.9375,,,,,,,,,313,,
,,,0.2291666716337204,,0.9375,,,,,,,,,314,,
,,,0.1666666716337204,,1.0,,,,,,,,,315,,
,,,0.15625,,0.8125,,,,,,,,,316,,
,,,0.0555555559694767,,0.7948718070983887,,,,,,,,,317,,
,,,0.0,,1.0,,,,,,,,,318,,
,,,0.0,,0.8125,,,,,,,,,319,,
,,,0.010416666977107525,,0.875,,,,,,,,,320,,
,,,0.0,,0.875,,,,,,,,,321,,
,,,0.015625,,0.9375,,,,,,,,,322,,
,,,0.0,,0.75,,,,,,,,,323,,
,,,0.0,,0.8125,,,,,,,,,324,,
,,,0.0,,0.75,,,,,,,,,325,,
,,,0.0,,0.875,,,,,,,,,326,,
,,,0.0,,0.9375,,,,,,,,,327,,
,,,0.0,,0.9375,,,,,,,,,328,,
,,,0.0,,0.875,,,,,,,,,329,,
,,,0.0,,0.875,,,,,,,,,330,,
,,,0.0,,0.8125,,,,,,,,,331,,
,,,0.0,,0.875,,,,,,,,,332,,
,,,0.015625,,0.75,,,,,,,,,333,,
,,,0.0,,0.875,,,,,,,,,334,,
,,,0.0,,0.9375,,,,,,,,,335,,
,,,0.0,,0.9375,,,,,,,,,336,,
,,,0.0,,0.9375,,,,,,,,,337,,
,,,0.0,,0.875,,,,,,,,,338,,
,,,0.0,,0.9375,,,,,,,,,339,,
,,,0.0,,1.0,,,,,,,,,340,,
,,,0.0,,0.7272727489471436,,,,,,,,,341,,
,,,0.0,,0.375,,,,,,,,,342,,
,,,0.0,,0.625,,,,,,,,,343,,
,,,0.0,,0.3125,,,,,,,,,344,,
,,,0.010416666977107525,,0.5,,,,,,,,,345,,
,,,0.0,,0.5,,,,,,,,,346,,
,,,0.0,,0.375,,,,,,,,,347,,
,,,0.0,,0.6875,,,,,,,,,348,,
,,,0.0,,0.75,,,,,,,,,349,,
,,,0.0,,0.3125,,,,,,,,,350,,
,,,0.0,,0.5,,,,,,,,,351,,
,,,0.0,,0.375,,,,,,,,,352,,
,,,0.0,,0.5625,,,,,,,,,353,,
,,,0.0,,0.5625,,,,,,,,,354,,
,,,0.0,,0.625,,,,,,,,,355,,
,,,0.0,,0.5625,,,,,,,,,356,,
,,,0.0,,0.625,,,,,,,,,357,,
,,,0.0,,0.625,,,,,,,,,358,,
,,,0.010416666977107525,,0.6875,,,,,,,,,359,,
,,,0.0,,0.5,,,,,,,,,360,,
,,,0.0,,0.5,,,,,,,,,361,,
,,,0.0,,0.5,,,,,,,,,362,,
,,,0.0,,0.5,,,,,,,,,363,,
,,,0.0,,0.25,,,,,,,,,364,,
,,,0.0,,0.25,,,,,,,,,365,,
,,,0.0714285746216774,,0.6428571343421936,,,,,,,,,366,,
,,,0.125,,0.875,,,,,,,,,367,,
,,,0.05000000074505806,,0.6875,,,,,,,,,368,,
,,,0.0625,,0.6875,,,,,,,,,369,,
,,,0.15625,,0.75,,,,,,,,,370,,
,,,0.125,,0.9375,,,,,,,,,371,,
,,,0.10000000149011612,,0.9375,,,,,,,,,372,,
,,,0.109375,,0.875,,,,,,,,,373,,
,,,0.203125,,0.9375,,,,,,,,,374,,
,,,0.1875,,0.9375,,,,,,,,,375,,
