Exp 1.3: DDP Simulation
d=4, M=32, BS_per_device=64, accum_steps=4, K=1024, steps=10000, seeds=3

Distribution       Mode                     D              W1
spiral             pooled_sigreg            4  0.0762+/-0.0028
spiral             pooled_sigreg            8  0.0699+/-0.0031
spiral             pooled_sigreg           16  0.0680+/-0.0065
spiral             pooled_global_sigreg     1  0.0830+/-0.0042
spiral             pooled_global_sigreg     2  0.0843+/-0.0052
spiral             pooled_global_sigreg     4  0.0800+/-0.0062
spiral             pooled_global_sigreg     8  0.0742+/-0.0019
spiral             pooled_global_sigreg    16  0.0689+/-0.0027
spiral             local_w1                 1  0.0760+/-0.0066
spiral             local_w1                 2  0.0597+/-0.0051
spiral             local_w1                 4  0.0585+/-0.0048
spiral             local_w1                 8  0.0586+/-0.0025
spiral             local_w1                16  0.0510+/-0.0035
spiral             global_w1                1  0.0760+/-0.0066
spiral             global_w1                2  0.0615+/-0.0058
spiral             global_w1                4  0.0590+/-0.0061
spiral             global_w1                8  0.0446+/-0.0012
spiral             global_w1               16  0.0434+/-0.0008
spiral             pooled_w1                1  0.0571+/-0.0037
spiral             pooled_w1                2  0.0548+/-0.0027
spiral             pooled_w1                4  0.0502+/-0.0030
spiral             pooled_w1                8  0.0427+/-0.0012
spiral             pooled_w1               16  0.0447+/-0.0033
spiral             pooled_global_w1         1  0.0571+/-0.0037
spiral             pooled_global_w1         2  0.0522+/-0.0020
spiral             pooled_global_w1         4  0.0490+/-0.0014
spiral             pooled_global_w1         8  0.0438+/-0.0014
spiral             pooled_global_w1        16  0.0393+/-0.0020

