Per-sample gradient bias/variance at fixed anchor points
distributions=['standard_normal', 'shifted_normal', 'scaled_normal', 'laplace', 'student_t5', 'uniform', 'mixture_gauss', 'skewnormal']
anchors=[-1.5, -0.5, 0.5, 1.5], Ns=[16, 32, 64, 128, 256, 512, 1024, 2048, 4096], n_seeds=2000
Aggregation: median over seeds (IQR / std).

loss  distribution           y*      N        med grad       std grad  |med|/std
--------------------------------------------------------------------------------------
w1    scaled_normal       +1.50   2048     +4.8828e-04     0.0000e+00 488281249999999940989812736.000
w1    scaled_normal       +1.50   4096     +2.4414e-04     0.0000e+00 244140624999999970494906368.000

w1    laplace             -1.50     16     -6.2500e-02     6.1401e-02      1.018
w1    laplace             -1.50     32     -3.1250e-02     3.1013e-02      1.008
w1    laplace             -1.50     64     -1.5625e-02     1.5620e-02      1.000
w1    laplace             -1.50    128     +7.8125e-03     7.4927e-03      1.043
w1    laplace             -1.50    256     +3.9062e-03     3.8016e-03      1.028
w1    laplace             -1.50    512     +1.9531e-03     1.7931e-03      1.089
w1    laplace             -1.50   1024     +9.7656e-04     7.6563e-04      1.275
w1    laplace             -1.50   2048     +4.8828e-04     2.8776e-04      1.697
w1    laplace             -1.50   4096     +2.4414e-04     8.8513e-05      2.758
w1    laplace             -0.50     16     +6.2500e-02     5.7131e-02      1.094
w1    laplace             -0.50     32     +3.1250e-02     2.5748e-02      1.214
w1    laplace             -0.50     64     +1.5625e-02     1.0373e-02      1.506
w1    laplace             -0.50    128     +7.8125e-03     3.9745e-03      1.966
w1    laplace             -0.50    256     +3.9062e-03     7.9653e-04      4.904
w1    laplace             -0.50    512     +1.9531e-03     1.5121e-04     12.916
w1    laplace             -0.50   1024     +9.7656e-04     0.0000e+00 976562499999999881979625472.000
w1    laplace             -0.50   2048     +4.8828e-04     0.0000e+00 488281249999999940989812736.000
w1    laplace             -0.50   4096     +2.4414e-04     0.0000e+00 244140624999999970494906368.000
w1    laplace             +0.50     16     -6.2500e-02     5.7826e-02      1.081
w1    laplace             +0.50     32     -3.1250e-02     2.5419e-02      1.229
